pmid,file_source,pubmed,mid,pmc,doi,pii,pmcid,other_medline,other_sici
12765608,pubmed_600_to_699.xml,12765608,,,10.1016/s0896-6273(03)00259-9,S0896627303002599,,,
12771112,pubmed_600_to_699.xml,12771112,,,10.1001/jama.289.20.2651,289/20/2651,,,
12771113,pubmed_600_to_699.xml,12771113,,,10.1001/jama.289.20.2663,289/20/2663,,,
12783420,pubmed_600_to_699.xml,12783420,,,10.1002/ana.10555,,,,
12783912,pubmed_600_to_699.xml,12783912,,,10.1001/jama.289.21.2819,289/21/2819,,,
12787504,pubmed_600_to_699.xml,12787504,,,10.1016/s0092-8674(03)00393-3,S0092867403003933,,,
12787505,pubmed_600_to_699.xml,12787505,,,10.1016/s0092-8674(03)00392-1,S0092867403003921,,,
12793519,pubmed_600_to_699.xml,12793519,,,10.1080/1028415031000111282,,,,
12796482,pubmed_600_to_699.xml,12796482,,,10.1074/jbc.M305878200,S0021-9258(20)84184-2,,,
1279693,pubmed_600_to_699.xml,1279693,,PMC50421,10.1073/pnas.89.22.10758,,,,
12801237,pubmed_600_to_699.xml,12801237,,,10.1021/jm030026b,,,,
12805290,pubmed_600_to_699.xml,12805290,,PMC6740780,10.1523/JNEUROSCI.23-11-04499.2003,23/11/4499,,,
12808450,pubmed_700_to_799.xml,12808450,,,10.1038/nm890,nm890,,,
12824464,pubmed_700_to_799.xml,12824464,,PMC166260,10.1073/pnas.1432609100,1432609100,,,
12832546,pubmed_700_to_799.xml,12832546,,PMC6741153,10.1523/JNEUROSCI.23-12-05219.2003,23/12/5219,,,
12836766,pubmed_700_to_799.xml,12836766,,,10.1364/ol.28.001022,,,,
12855764,pubmed_700_to_799.xml,12855764,,PMC170905,10.1073/pnas.1133288100,1133288100,,,
12859672,pubmed_700_to_799.xml,12859672,,,10.1046/j.1471-4159.2003.01879.x,1879,,,
12860573,pubmed_700_to_799.xml,12860573,,,10.1001/archinte.163.13.1524,163/13/1524,,,
12869766,pubmed_700_to_799.xml,12869766,,,10.1126/science.1083968,301/5631/386,,,
12872001,pubmed_700_to_799.xml,12872001,,PMC187908,10.1073/pnas.1533448100,1533448100,,,
12873380,pubmed_700_to_799.xml,12873380,,,10.1016/s0896-6273(03)00429-x,S089662730300429X,,,
12873381,pubmed_700_to_799.xml,12873381,NIHMS334104,PMC3220623,10.1016/s0896-6273(03)00366-0,S0896627303003660,,,
12873849,pubmed_700_to_799.xml,12873849,,,10.1001/archneur.60.7.940,60/7/940,,,
12881722,pubmed_700_to_799.xml,12881722,,,10.1038/ng1219,ng1219,,,
1288359,pubmed_700_to_799.xml,1288359,,,10.1111/j.1749-6632.1992.tb27483.x,,,,
12888622,pubmed_700_to_799.xml,12888622,,PMC187753,10.1073/pnas.1630428100,1630428100,,,
12890786,pubmed_700_to_799.xml,12890786,,PMC6740729,10.1523/JNEUROSCI.23-17-06914.2003,23/17/6914,,,
12891359,pubmed_700_to_799.xml,12891359,,,10.1038/nature01832,nature01832,,,
12891676,pubmed_700_to_799.xml,12891676,,,10.1002/ana.10639,,,,
12897211,pubmed_700_to_799.xml,12897211,,PMC166298,10.1172/JCI18162,112/3/440,,,
12904458,pubmed_700_to_799.xml,12904458,,PMC6740664,10.1523/JNEUROSCI.23-18-06972.2003,23/18/6972,,,
12906797,pubmed_700_to_799.xml,12906797,,,10.1016/s0960-9822(03)00492-5,S0960-9822(03)00492-5,,,
12913006,pubmed_700_to_799.xml,12913006,,,10.1074/jbc.M306028200,S0021-9258(20)82753-7,,,
12917687,pubmed_700_to_799.xml,12917687,,,10.1038/nature01870,nature01870,,,
12917692,pubmed_700_to_799.xml,12917692,,,10.1038/nature01891,nature01891,,,
12920299,pubmed_700_to_799.xml,12920299,,,10.1126/science.1086187,301/5635/967,,,
12925731,pubmed_700_to_799.xml,12925731,,PMC193576,10.1073/pnas.1834302100,1834302100,,,
12930788,pubmed_700_to_799.xml,12930788,,PMC6740758,10.1523/JNEUROSCI.23-20-07504.2003,23/20/7504,,,
12944419,pubmed_700_to_799.xml,12944419,,,10.1093/hmg/ddg292,ddg292,,,
12970516,pubmed_700_to_799.xml,12970516,,,10.1161/01.STR.0000091396.95360.E1,01.STR.0000091396.95360.E1,,,
1303289,pubmed_700_to_799.xml,1303289,,,10.1038/ng1292-330,,,,
1346802,pubmed_700_to_799.xml,1346802,,PMC6575616,10.1523/JNEUROSCI.12-02-00376.1992,,,,
13678586,pubmed_700_to_799.xml,13678586,,,10.1016/j.cell.2003.08.008,S0092867403006512,,,
1383826,pubmed_700_to_799.xml,1383826,,,10.1038/359322a0,,,,
1406936,pubmed_700_to_799.xml,1406936,,,10.1038/359325a0,,,,
1411576,pubmed_700_to_799.xml,1411576,,,10.1126/science.1411576,,,,
14188276,pubmed_700_to_799.xml,14188276,,,10.1093/brain/87.2.307,,,,
1438289,pubmed_700_to_799.xml,1438289,,PMC50441,10.1073/pnas.89.22.10857,,,,
1439760,pubmed_700_to_799.xml,1439760,,,10.1126/science.1439760,,,,
14502203,pubmed_700_to_799.xml,14502203,,,10.1038/nbt870,nbt870,,,
14519670,pubmed_700_to_799.xml,14519670,,,10.1096/fj.03-0098fje,03-0098fje,,,
14523085,pubmed_700_to_799.xml,14523085,,PMC6740389,10.1523/JNEUROSCI.23-26-08844.2003,23/26/8844,,,
14523244,pubmed_700_to_799.xml,14523244,,PMC218777,10.1073/pnas.1534745100,1534745100,,,
14526083,pubmed_700_to_799.xml,14526083,,,10.1126/science.1086071,302/5642/113,,,
14527431,pubmed_700_to_799.xml,14527431,,,10.1016/s0896-6273(03)00594-4,S0896627303005944,,,
14527432,pubmed_700_to_799.xml,14527432,,,10.1016/s0896-6273(03)00569-5,S0896627303005695,,,
14530399,pubmed_700_to_799.xml,14530399,,PMC218776,10.1073/pnas.2132992100,2132992100,,,
14535955,pubmed_700_to_799.xml,14535955,,,10.1046/j.1471-4159.2003.02059.x,2059,,,
1455056,pubmed_700_to_799.xml,1455056,,,10.1016/0923-2494(92)80049-q,0923-2494(92)80049-Q,,,
14562104,pubmed_700_to_799.xml,14562104,,,10.1038/nature01979,nature01979,,,
14566063,pubmed_700_to_799.xml,14566063,,PMC240747,10.1073/pnas.1735338100,1735338100,,,
14569018,pubmed_700_to_799.xml,14569018,,PMC240742,10.1073/pnas.1735415100,1735415100,,,
14570706,pubmed_700_to_799.xml,14570706,,,10.1093/hmg/ddg357,ddg357,,,
14574408,pubmed_700_to_799.xml,14574408,,,10.1038/nature02013,nature02013,,,
14581618,pubmed_700_to_799.xml,14581618,,PMC263865,10.1073/pnas.2234031100,2234031100,,,
14586007,pubmed_700_to_799.xml,14586007,,PMC6740896,10.1523/JNEUROSCI.23-30-09796.2003,23/30/9796,,,
14586010,pubmed_700_to_799.xml,14586010,,PMC6740878,10.1523/JNEUROSCI.23-30-09817.2003,23/30/9817,,,
1459317,pubmed_700_to_799.xml,1459317,,,,,,,
14593171,pubmed_700_to_799.xml,14593171,,,10.1126/science.1090278,302/5646/841,,,
14593181,pubmed_700_to_799.xml,14593181,,,10.1126/science.1090187,302/5646/871,,,
14594945,pubmed_700_to_799.xml,14594945,,,10.1074/jbc.M304528200,S0021-9258(20)74931-8,,,
14596589,pubmed_700_to_799.xml,14596589,,,10.1021/bi030029q,,,,
14615545,pubmed_700_to_799.xml,14615545,,,10.1126/science.1088417,1088417,,,
14617772,pubmed_700_to_799.xml,14617772,,PMC283568,10.1073/pnas.2332851100,2332851100,,,
14617773,pubmed_700_to_799.xml,14617773,,PMC283567,10.1073/pnas.2332818100,2332818100,,,
14622574,pubmed_700_to_799.xml,14622574,,,10.1016/s0896-6273(03)00697-4,S0896627303006974,,,
14622586,pubmed_700_to_799.xml,14622586,,,10.1016/s0896-6273(03)00694-9,S0896627303006949,,,
14627648,pubmed_700_to_799.xml,14627648,,PMC6740918,10.1523/JNEUROSCI.23-33-10633.2003,23/33/10633,,,
14631045,pubmed_700_to_799.xml,14631045,,,10.1126/science.1089681,302/5649/1412,,,
14634645,pubmed_700_to_799.xml,14634645,,,10.1038/nm964,nm964,,,
14655926,pubmed_700_to_799.xml,14655926,NIHMS683803,PMC4418658,10.1093/sleep/26.7.893,,,,
14657444,pubmed_700_to_799.xml,14657444,,,10.1056/NEJM200312043492325,349/23/2274,,,
14657499,pubmed_700_to_799.xml,14657499,,,10.1126/science.1090389,302/5651/1769,,,
14657500,pubmed_700_to_799.xml,14657500,NIHMS15899,PMC1780172,10.1126/science.1090439,302/5651/1772,,,
14676042,pubmed_700_to_799.xml,14676042,,,10.1001/archneur.60.12.1685,60/12/1685,,,
14677633,pubmed_700_to_799.xml,14677633,NIHMS452058,PMC3622731,10.1046/j.1474-9728.2003.00069.x,,,,
14687544,pubmed_700_to_799.xml,14687544,,,10.1016/s0896-6273(03)00787-6,S0896627303007876,,,
14687548,pubmed_700_to_799.xml,14687548,,,10.1016/s0896-6273(03)00766-9,S0896627303007669,,,
14697205,pubmed_700_to_799.xml,14697205,,,10.1016/s0092-8674(03)01020-1,S0092867403010201,,,
14697204,pubmed_700_to_799.xml,14697204,,,10.1016/s0092-8674(03)01017-1,S0092867403010171,,,
14697206,pubmed_700_to_799.xml,14697206,,,10.1016/s0092-8674(03)01021-3,S0092867403010213,,,
14698294,pubmed_700_to_799.xml,14698294,,,10.1016/j.jmb.2003.11.019,S0022283603014116,,,
14699153,pubmed_700_to_799.xml,14699153,,,10.1074/jbc.M310001200,S0021-9258(17)47713-1,,,
14715132,pubmed_700_to_799.xml,14715132,,,10.1016/s0896-6273(03)00810-9,S0896627303008109,,,
14715666,pubmed_700_to_799.xml,14715666,,,10.1074/jbc.M309832200,S0021-9258(19)64417-0,,,
14718715,pubmed_700_to_799.xml,14718715,,,10.1212/01.wnl.0000101721.25345.dc,,,,
14720212,pubmed_700_to_799.xml,14720212,,,10.1111/j.1471-4159.2004.02183.x,2183,,,
14730301,pubmed_700_to_799.xml,14730301,,,10.1038/ng1291,ng1291,,,
14730359,pubmed_700_to_799.xml,14730359,,,10.1038/nm985,nm985,,,
14732624,pubmed_700_to_799.xml,14732624,,,10.1001/archneur.61.1.82,61/1/82,,,
14732699,pubmed_700_to_799.xml,14732699,,PMC327153,10.1073/pnas.0305803101,0305803101,,,
14734594,pubmed_700_to_799.xml,14734594,,,10.1001/jama.291.3.317,291/3/317,,,
14741101,pubmed_700_to_799.xml,14741101,,,10.1016/s0896-6273(03)00850-x,S089662730300850X,,,
14745448,pubmed_700_to_799.xml,14745448,,,10.1038/ng1296,ng1296,,,
14747503,pubmed_700_to_799.xml,14747503,,,10.1001/jama.291.4.460,291/4/460,,,
14749517,pubmed_700_to_799.xml,14749517,,PMC341849,10.1073/pnas.0308224100,0308224100,,,
14752167,pubmed_700_to_799.xml,14752167,,,10.1126/science.1094273,1094273,,,
14760408,pubmed_700_to_799.xml,14760408,,,10.1038/nm0204-117,nm0204-117,,,
14766175,pubmed_700_to_799.xml,14766175,,,10.1016/s0896-6273(04)00015-7,S0896627304000157,,,
14766981,pubmed_700_to_799.xml,14766981,,PMC357065,10.1073/pnas.0305404101,0305404101,,,
14769913,pubmed_700_to_799.xml,14769913,,PMC357071,10.1073/pnas.0308512100,0308512100,,,
14769920,pubmed_800_to_899.xml,14769920,,PMC357074,10.1073/pnas.0308652100,0308652100,,,
14962978,pubmed_800_to_899.xml,14962978,,,10.1093/hmg/ddh083,ddh083,,,
14970312,pubmed_800_to_899.xml,14970312,,PMC357053,10.1073/pnas.0305799101,0305799101,,,
14980204,pubmed_800_to_899.xml,14980204,,,10.1016/s0896-6273(04)00017-0,S0896627304000170,,,
14981176,pubmed_800_to_899.xml,14981176,NIHMS135663,PMC2730165,10.1212/01.wnl.0000110315.26026.ef,,,,
14981268,pubmed_800_to_899.xml,14981268,,PMC365699,10.1073/pnas.0308576101,0308576101,,,
14985362,pubmed_800_to_899.xml,14985362,,,10.1074/jbc.M401135200,S0021-9258(19)75415-5,,,
14985749,pubmed_800_to_899.xml,14985749,,,10.1038/427801a,427801a,,,
14985763,pubmed_800_to_899.xml,14985763,,,10.1038/nature02319,nature02319,,,
14991808,pubmed_800_to_899.xml,14991808,,,10.1002/ana.20009,,,,
14993615,pubmed_800_to_899.xml,14993615,,PMC373491,10.1073/pnas.0308679101,0308679101,,,
15006350,pubmed_800_to_899.xml,15006350,,,10.1016/s0092-8674(04)00170-9,S0092867404001709,,,
15007167,pubmed_800_to_899.xml,15007167,,PMC384720,10.1073/pnas.0307349101,0307349101,,,
15014117,pubmed_800_to_899.xml,15014117,,PMC6729483,10.1523/JNEUROSCI.5599-03.2004,24/10/2421,,,
15014121,pubmed_800_to_899.xml,15014121,,PMC6729479,10.1523/JNEUROSCI.4703-03.2004,24/10/2458,,,
15014129,pubmed_800_to_899.xml,15014129,,PMC6729476,10.1523/JNEUROSCI.4456-03.2004,24/10/2535,,,
15034169,pubmed_800_to_899.xml,15034169,,PMC387320,10.1073/pnas.0400924101,0400924101,,,
15037022,pubmed_800_to_899.xml,15037022,,,10.1016/j.mad.2003.12.002,S0047637403002513,,,
15037693,pubmed_800_to_899.xml,15037693,,,10.1212/01.wnl.0000115110.35610.80,,,,
15044753,pubmed_800_to_899.xml,15044753,,,10.1126/science.1095862,1095862,,,
15054070,pubmed_800_to_899.xml,15054070,,,10.1093/cercor/bhh016,bhh016,,,
15056277,pubmed_800_to_899.xml,15056277,,,10.1046/j.1471-4159.2004.02347.x,JNC2347,,,
15056716,pubmed_800_to_899.xml,15056716,,PMC6730034,10.1523/JNEUROSCI.1633-03.2004,24/13/3370,,,
15060285,pubmed_800_to_899.xml,15060285,,,10.1126/science.1095505,1095505,,,
15064418,pubmed_800_to_899.xml,15064418,,,10.1126/science.1092194,304/5667/100,,,
15066262,pubmed_800_to_899.xml,15066262,,,10.1016/s0896-6273(04)00182-5,S0896627304001825,,,
15068806,pubmed_800_to_899.xml,15068806,,,10.1016/s1097-2765(04)00151-0,S1097-2765(04)00151-0,,,
15068977,pubmed_800_to_899.xml,15068977,,,10.7326/0003-4819-140-7-200404060-00008,140/7/501,,,
15069204,pubmed_800_to_899.xml,15069204,,PMC404095,10.1073/pnas.0400895101,0400895101,,,
15070770,pubmed_800_to_899.xml,15070770,,PMC384799,10.1073/pnas.0308627101,0308627101,,,
15084661,pubmed_800_to_899.xml,15084661,,PMC6729359,10.1523/JNEUROSCI.5543-03.2004,24/15/3801,,,
15084655,pubmed_800_to_899.xml,15084655,,PMC6729355,10.1523/JNEUROSCI.0406-04.2004,24/15/3752,,,
15087508,pubmed_800_to_899.xml,15087508,,,10.1126/science.1096284,1096284,,,
15087549,pubmed_800_to_899.xml,15087549,,,10.1126/science.1091230,304/5669/448,,,
15100718,pubmed_800_to_899.xml,15100718,,,10.1038/nrn1387,nrn1387,,,
15105460,pubmed_800_to_899.xml,15105460,,,10.1126/science.1093891,1093891,,,
15118092,pubmed_800_to_899.xml,15118092,,PMC406479,10.1073/pnas.0402147101,0402147101,,,
15120069,pubmed_800_to_899.xml,15120069,,,10.1016/j.cub.2004.04.036,S0960-9822(04)00301-X,,,
15128939,pubmed_800_to_899.xml,15128939,,PMC419667,10.1073/pnas.0402338101,0402338101,,,
15131306,pubmed_800_to_899.xml,15131306,,,10.1126/science.1095190,304/5672/870,,,
15146184,pubmed_800_to_899.xml,15146184,,,10.1038/ng1362,ng1362,,,
15146243,pubmed_800_to_899.xml,15146243,,PMC406531,10.1172/JCI20864,,,,
15147524,pubmed_800_to_899.xml,15147524,,,10.1111/j.1471-4159.2004.02455.x,JNC2455,,,
15157417,pubmed_800_to_899.xml,15157417,,,10.1016/s0896-6273(04)00266-1,S0896627304002661,,,
15163410,pubmed_800_to_899.xml,15163410,,,10.1016/j.cell.2004.05.002,S0092867404004878,,,
15164063,pubmed_800_to_899.xml,15164063,,,10.1038/nature02544,nature02544,,,
15164064,pubmed_800_to_899.xml,15164064,,,10.1038/nature02517,nature02517,,,
15173829,pubmed_800_to_899.xml,15173829,,,10.1038/nrm1406,nrm1406,,,
15181200,pubmed_800_to_899.xml,15181200,,PMC428480,10.1073/pnas.0402959101,0402959101,,,
15182724,pubmed_800_to_899.xml,15182724,,,10.1016/j.neuron.2004.04.002,S0896627304002612,,,
15184600,pubmed_800_to_899.xml,15184600,,,10.1212/01.wnl.0000128091.92139.0f,,,,
15184603,pubmed_800_to_899.xml,15184603,,,10.1212/01.wnl.0000129275.13169.be,,,,
15184901,pubmed_800_to_899.xml,15184901,,,10.1038/nn1261,nn1261,,,
15190179,pubmed_800_to_899.xml,15190179,,PMC438998,10.1073/pnas.0308126101,0308126101,,,
15190254,pubmed_800_to_899.xml,15190254,,,10.1038/nature02661,nature02661,,,
15195085,pubmed_800_to_899.xml,15195085,,,10.1038/nm1058,nm1058,,,
15197276,pubmed_800_to_899.xml,15197276,,PMC438994,10.1073/pnas.0400569101,0400569101,,,
15205477,pubmed_800_to_899.xml,15205477,,,10.1126/science.1099196,1099196,,,
15207239,pubmed_800_to_899.xml,15207239,,,10.1016/j.neuron.2004.05.021,S0896627304003022,,,
15207240,pubmed_800_to_899.xml,15207240,NIHMS1675829,PMC8048715,10.1016/j.neuron.2004.06.002,S0896627304003526,,,
15213206,pubmed_800_to_899.xml,15213206,,,10.1001/jama.291.24.2947,291/24/2947,,,
15213207,pubmed_800_to_899.xml,15213207,,,10.1001/jama.291.24.2959,291/24/2959,,,
15265277,pubmed_800_to_899.xml,15265277,,,10.1179/016164104225016272,,,,
15269217,pubmed_800_to_899.xml,15269217,,,10.1074/jbc.M407963200,S0021-9258(20)77196-6,,,
15269218,pubmed_800_to_899.xml,15269218,,,10.1074/jbc.M407962200,S0021-9258(20)77219-4,,,
15288432,pubmed_800_to_899.xml,15288432,,,10.1016/j.neulet.2004.05.047,S0304394004006275,,,
15294141,pubmed_800_to_899.xml,15294141,,,10.1016/j.neuron.2004.07.003,S0896627304004246,,,
15294142,pubmed_800_to_899.xml,15294142,,,10.1016/j.neuron.2004.07.017,S0896627304004611,,,
15310905,pubmed_800_to_899.xml,15310905,,,10.1126/science.1098014,305/5686/1010,,,
15311281,pubmed_800_to_899.xml,15311281,,,10.1038/nn1302,nn1302,,,
15314651,pubmed_800_to_899.xml,15314651,,PMC509297,10.1371/journal.pbio.0020225,,,,
15316009,pubmed_800_to_899.xml,15316009,,,10.1074/jbc.M408474200,S0021-9258(20)69932-X,,,
15322084,pubmed_800_to_899.xml,15322084,NIHMS3671,PMC1201506,10.1074/jbc.M407986200,S0021-9258(19)70950-8,,,
15322100,pubmed_800_to_899.xml,15322100,,,10.1074/jbc.M405146200,S0021-9258(20)69910-0,,,
15322109,pubmed_800_to_899.xml,15322109,,,10.1074/jbc.M406289200,S0021-9258(20)69852-0,,,
15326261,pubmed_800_to_899.xml,15326261,,,10.1212/01.wnl.0000134603.57107.2f,63/4/749,,,
15331662,pubmed_800_to_899.xml,15331662,,,10.1242/jcs.01323,117/19/4435,,,
15333840,pubmed_800_to_899.xml,15333840,,,10.1126/science.1101738,305/5688/1292,,,
15339646,pubmed_800_to_899.xml,15339646,NIHMS3584,PMC2442162,10.1016/j.neuron.2004.08.013,S0896627304005227,,,
15340159,pubmed_800_to_899.xml,15340159,,PMC516572,10.1073/pnas.0403678101,0403678101,,,
15345711,pubmed_800_to_899.xml,15345711,,,10.1074/jbc.M409544200,S0021-9258(20)69909-4,,,
15347685,pubmed_800_to_899.xml,15347685,,,10.1074/jbc.M405602200,S0021-9258(19)32300-2,,,
15350220,pubmed_800_to_899.xml,15350220,,,10.1016/j.molcel.2004.08.025,S1097-2765(04)00511-8,,,
15364924,pubmed_800_to_899.xml,15364924,,,10.1074/jbc.M405527200,S0021-9258(20)67753-5,,,
15365176,pubmed_800_to_899.xml,15365176,,PMC518852,10.1073/pnas.0404458101,0404458101,,,
15383276,pubmed_800_to_899.xml,15383276,,,10.1016/j.molcel.2004.09.016,S1097-2765(04)00545-3,,,
15383516,pubmed_800_to_899.xml,15383516,,,10.1001/jama.292.12.1454,292/12/1454,,,
15383837,pubmed_800_to_899.xml,15383837,,PMC517824,10.1371/journal.pbio.0020321,,,,
15385542,pubmed_800_to_899.xml,15385542,,,10.1074/jbc.C400260200,S0021-9258(20)69840-4,,,
15388848,pubmed_800_to_899.xml,15388848,,PMC521943,10.1073/pnas.0405941101,0405941101,,,
15448688,pubmed_800_to_899.xml,15448688,,,10.1038/nm1112,nm1112,,,
15454086,pubmed_800_to_899.xml,15454086,,,10.1016/j.cell.2004.09.013,S0092867404008864,,,
15466480,pubmed_800_to_899.xml,15466480,,PMC2172520,10.1083/jcb.200401085,jcb.200401085,,,
15473963,pubmed_800_to_899.xml,15473963,,,10.1016/j.neuron.2004.08.043,S0896627304005422,,,
15475950,pubmed_800_to_899.xml,15475950,,,10.1038/nn1335,nn1335,,,
15477536,pubmed_800_to_899.xml,15477536,,,10.1212/01.wnl.0000140292.04932.87,63/7/1187,,,
15483602,pubmed_800_to_899.xml,15483602,,,10.1038/nature02998,nature02998,,,
15489232,pubmed_800_to_899.xml,15489232,,,10.1074/jbc.M407283200,S0021-9258(18)66372-0,,,
15502868,pubmed_800_to_899.xml,15502868,,PMC521171,10.1371/journal.pbio.0020327,,,,
15502874,pubmed_800_to_899.xml,15502874,,PMC521177,10.1371/journal.pbio.0020362,,,,
15507493,pubmed_900_to_999.xml,15507493,,PMC524264,10.1073/pnas.0403535101,0403535101,,,
15536110,pubmed_900_to_999.xml,15536110,,,10.1001/jama.292.18.2237,292/18/2237,,,
15537891,pubmed_900_to_999.xml,15537891,,PMC6730194,10.1523/JNEUROSCI.3432-04.2004,24/45/10191,,,
15541308,pubmed_900_to_999.xml,15541308,,,10.1016/j.neuron.2004.10.023,S0896627304006890,,,
15543156,pubmed_900_to_999.xml,15543156,,,10.1038/nsmb860,nsmb860,,,
15557508,pubmed_900_to_999.xml,15557508,,,10.1212/01.wnl.0000144279.21502.b7,63/10/1898,,,
15572109,pubmed_900_to_999.xml,15572109,,,10.1016/j.neuron.2004.11.023,S0896627304007573,,,
15574741,pubmed_900_to_999.xml,15574741,,PMC6730204,10.1523/JNEUROSCI.3987-04.2004,24/48/10908,,,
15576490,pubmed_900_to_999.xml,15576490,,,10.1096/fj.04-2572com,18/15/1870,,,
15576511,pubmed_900_to_999.xml,15576511,,PMC536019,10.1073/pnas.0405313101,0405313101,,,
15578094,pubmed_900_to_999.xml,15578094,,PMC529285,10.1172/JCI22831,,,,
15590663,pubmed_900_to_999.xml,15590663,,,10.1074/jbc.M404751200,S0021-9258(19)63096-6,,,
15591351,pubmed_900_to_999.xml,15591351,,PMC539738,10.1073/pnas.0408154101,0408154101,,,
15592431,pubmed_900_to_999.xml,15592431,,PMC544899,10.1038/sj.emboj.7600441,7600441,,,
15598740,pubmed_900_to_999.xml,15598740,,PMC539732,10.1073/pnas.0408134101,0408134101,,,
15603737,pubmed_900_to_999.xml,15603737,,,10.1016/j.neuron.2004.11.026,S0896627304007627,,,
15607982,pubmed_900_to_999.xml,15607982,,,10.1016/j.cell.2004.11.003,S0092867404010451,,,
15608062,pubmed_900_to_999.xml,15608062,,PMC536055,10.1073/pnas.0408258102,0408258102,,,
15608634,pubmed_900_to_999.xml,15608634,,,10.1038/nn1372,nn1372,,,
15615853,pubmed_900_to_999.xml,15615853,,PMC544048,10.1073/pnas.0406361102,0406361102,,,
15647487,pubmed_900_to_999.xml,15647487,,PMC6725472,10.1523/JNEUROSCI.1575-04.2005,25/2/436,,,
15661755,pubmed_900_to_999.xml,15661755,,,10.1093/hmg/ddi064,ddi064,,,
15668737,pubmed_900_to_999.xml,15668737,,PMC544607,10.1172/JCI23269,,,,
15673661,pubmed_900_to_999.xml,15673661,,PMC6725614,10.1523/JNEUROSCI.4335-04.2005,25/4/823,,,
15679695,pubmed_900_to_999.xml,15679695,,,10.1111/j.1468-1331.2004.00953.x,ENE953,,,
15695586,pubmed_900_to_999.xml,15695586,,PMC548981,10.1073/pnas.0409336102,0409336102,,,
15705720,pubmed_900_to_999.xml,15705720,,PMC549455,10.1073/pnas.0408500102,0408500102,,,
15710903,pubmed_900_to_999.xml,15710903,,PMC549444,10.1073/pnas.0408237102,0408237102,,,
15713105,pubmed_900_to_999.xml,15713105,,,10.1021/ja044087q,,,,
15716955,pubmed_900_to_999.xml,15716955,,,10.1038/nature03260,nature03260,,,
15718241,pubmed_900_to_999.xml,15718241,,,10.1074/jbc.M413895200,S0021-9258(20)67520-2,,,
15721235,pubmed_900_to_999.xml,15721235,,,10.1016/j.neuron.2005.01.041,S0896-6273(05)00079-6,,,
15721236,pubmed_900_to_999.xml,15721236,,,10.1016/j.neuron.2004.12.054,S0896-6273(05)00067-X,,,
15728175,pubmed_900_to_999.xml,15728175,,,10.1074/jbc.M414176200,S0021-9258(20)65927-0,,,
15728830,pubmed_900_to_999.xml,15728830,,PMC6726060,10.1523/JNEUROSCI.4540-04.2005,25/8/1904,,,
15731448,pubmed_900_to_999.xml,15731448,,,10.1126/science.1105681,307/5713/1282,,,
15744309,pubmed_900_to_999.xml,15744309,,,10.1038/nature03314,nature03314,,,
15746389,pubmed_900_to_999.xml,15746389,,,10.1126/science.1103944,1103944,,,
15766532,pubmed_900_to_999.xml,15766532,,,10.1016/j.cell.2005.01.015,S0092-8674(05)00089-9,,,
15768036,pubmed_900_to_999.xml,15768036,,,10.1038/nn1422,nn1422,,,
15781953,pubmed_900_to_999.xml,15781953,,,10.1093/aje/kwi092,161/7/639,,,
15793589,pubmed_900_to_999.xml,15793589,,,10.1038/ng1534,ng1534,,,
15797547,pubmed_900_to_999.xml,15797547,,,10.1016/j.neuron.2005.01.032,S0896-6273(05)00070-X,,,
15806102,pubmed_900_to_999.xml,15806102,NIHMS4770,PMC1449881,10.1038/ng1542,ng1542,,,
15811941,pubmed_900_to_999.xml,15811941,,PMC556303,10.1073/pnas.0501507102,0501507102,,,
15817019,pubmed_900_to_999.xml,15817019,,,10.1111/j.1532-5415.2005.53221.x,JGS53221,,,
15821747,pubmed_900_to_999.xml,15821747,,,10.1038/nm1229,nm1229,,,
15829527,pubmed_900_to_999.xml,15829527,,,10.1056/NEJMoa050151,NEJMoa050151,,,
15831501,pubmed_900_to_999.xml,15831501,,,10.1074/jbc.M500356200,S0021-9258(20)67435-X,,,
15831717,pubmed_900_to_999.xml,15831717,,,10.1126/science.1110647,1110647,,,
15834426,pubmed_900_to_999.xml,15834426,,,10.1038/nm1235,nm1235,,,
15834427,pubmed_900_to_999.xml,15834427,,,10.1038/nm1234,nm1234,,,
15848797,pubmed_900_to_999.xml,15848797,,,10.1016/j.neuron.2005.03.003,S0896-6273(05)00196-0,,,
15852017,pubmed_900_to_999.xml,15852017,,,10.1038/nm1239,nm1239,,,
15855160,pubmed_900_to_999.xml,15855160,,,10.1074/jbc.M501565200,S0021-9258(20)65650-2,,,
15861134,pubmed_900_to_999.xml,15861134,,PMC1142582,10.1038/sj.emboj.7600650,7600650,,,
15872113,pubmed_900_to_999.xml,15872113,NIHMS3291,PMC1201418,10.1523/JNEUROSCI.0365-05.2005,25/18/4649,,,
1587857,pubmed_900_to_999.xml,1587857,,,,S0021-9258(19)50090-4,,,
15880109,pubmed_900_to_999.xml,15880109,,,10.1038/nn1462,nn1462,,,
15888448,pubmed_900_to_999.xml,15888448,,,10.1074/jbc.M502143200,S0021-9258(20)61390-4,,,
15894613,pubmed_900_to_999.xml,15894613,,PMC1140443,10.1073/pnas.0502427102,0502427102,,,
15923191,pubmed_900_to_999.xml,15923191,,,10.1074/jbc.M414525200,S0021-9258(20)56666-0,,,
15930395,pubmed_900_to_999.xml,15930395,,PMC6725006,10.1523/JNEUROSCI.4637-04.2005,25/22/5446,,,
15933194,pubmed_900_to_999.xml,15933194,,,10.1126/science.1110837,308/5727/1435,,,
